Address,City,State,Zip,Price,Bedrooms,Bathrooms,Waterfront_Status,Property_Type,Listing_Status
7658 County Road 153,Interlaken,NY,14847.0,1348000.0,5.0,3.0,Waterfront,Single-Family,Active
1505 Gray Rd,Ledyard,NY,13160.0,399900.0,5.0,2.0,Non-Waterfront,Single-Family,Active
1 Curtis St,Mentz,NY,13140.0,79500.0,2.0,1.0,Non-Waterfront,Single-Family,Active
8089 State Route 90,Montezuma,NY,13117.0,99900.0,3.0,2.0,Non-Waterfront,Single-Family,Active
6794 Fosterville Rd,Aurelius,NY,13021.0,599000.0,4.0,1.0,Non-Waterfront,Single-Family,Active
269 E Lake Rd,Conquest,NY,13140.0,79000.0,1.0,1.0,Waterfront,Single-Family,Active
245 Fire Lane 17,Cato,NY,13033.0,169900.0,1.0,1.0,Waterfront,Single-Family,Active
4500 W Lake Rd,Skaneateles,NY,13152.0,3999000.0,5.0,6.0,Waterfront,Single-Family,Active
1077 - 1079 Taughannock Boulevard,Ithaca,NY,,2200000.0,8.0,7.0,Waterfront,Single-Family,Active Under Contract
4525 Rt-89,Varick,NY,,2195000.0,4.0,4.0,Waterfront,Single-Family,Pending
9341 Kingtown Beach Road,Covert,NY,,1250000.0,3.0,2.0,Waterfront,Single-Family,Pending
581 Lansing Station Road,Lansing,NY,,1200000.0,4.0,3.0,Waterfront,Single-Family,Pending
1719 Honoco Road,Ledyard,NY,,995000.0,3.0,2.0,Waterfront,Single-Family,Pending
2151 Pumphouse Road,,NY,,,3.0,3.0,Waterfront,Single-Family,Active
6800 Rte 89,Ovid,NY,,1195000.0,,,Waterfront,Commercial,Active
4489 State Route 89,,NY,,875000.0,3.0,3.0,Waterfront,Single-Family,Pending
419 Cayuga Heights Road,Ithaca,NY,14850.0,798500.0,4.0,3.0,Non-Waterfront,Single-Family,Active
0 Hillcrest Dr #2,Ithaca,NY,14850.0,540000.0,,,Non-Waterfront,Land,Active
0 Blackchin Blvd #37,Ithaca,NY,14850.0,292000.0,,,Non-Waterfront,Land,Active
0 Mecklenburg Rd,Ithaca,NY,14850.0,2250000.0,,,Non-Waterfront,Land,Active
Cayuga Vista Dr,Lansing,NY,14882.0,350000.0,,,Non-Waterfront,Land,Active
Court St,Cayuga,NY,13034.0,39000.0,,,Non-Waterfront,Land,Active
3625 State Route 90 Lot 4 & 4a&b,Ledyard,NY,13026.0,1000000.0,,,Waterfront,Land,Active
110 Main Street,Ledyard,NY,,999900.0,,,Waterfront,Land,Active
27 & 29 Chestnut St #47,Seneca Falls,NY,13148.0,20000.0,,,Non-Waterfront,Land,Active
5234 Oak Harbor Road,,NY,,325000.0,,,Waterfront,Land,Active
5217 Oak Harbor Road,,NY,,290000.0,,,Waterfront,Land,Active
4040 County Road 141 Road,,NY,,199000.0,,,Non-Waterfront,Land,Active
152 Campbell Avenue,,NY,,99000.0,,,Non-Waterfront,Land,Active
